sex,length (mm),diameter (mm),height (mm),whole_weight (g),shucked_weight (g),viscera_weight (g),shell_weight (g),rings
M,109.0,84.0,28.0,150.1,49.5,26.0,51.0,22
I,88.0,69.0,20.0,73.2,24.4,18.1,24.0,13
M,100.0,82.0,30.0,132.4,56.3,27.4,44.0,11
I,72.0,55.0,19.0,43.4,16.8,8.7,18.0,7
I,77.0,61.0,19.0,50.4,18.3,11.0,18.0,14
M,78.0,60.0,18.0,61.1,28.6,12.9,17.0,9
M,100.0,83.0,33.0,137.7,49.8,27.6,50.0,13
I,72.0,55.0,22.0,46.7,19.0,10.5,17.0,10
I,67.0,52.0,20.0,38.4,15.7,11.7,14.0,8
F,101.0,85.0,28.0,170.0,55.0,32.5,57.0,19
I,79.0,59.0,20.0,54.3,26.8,6.5,17.0,10
F,82.0,65.0,21.0,72.7,31.8,15.4,24.0,10
F,112.0,91.0,38.0,142.8,56.6,25.8,55.0,9
M,113.0,87.0,37.0,196.3,65.8,27.2,78.0,13
M,113.0,91.0,37.0,185.3,70.8,31.5,75.0,16
M,121.0,100.0,35.0,219.6,95.3,46.4,75.0,12
F,113.0,91.0,30.0,164.1,73.0,31.8,52.0,18
M,145.0,113.0,43.0,378.2,139.5,94.5,116.0,16
F,135.0,107.0,32.0,282.0,118.4,63.5,84.0,16
F,133.0,111.0,39.0,287.7,116.2,70.8,72.0,17
F,113.0,98.0,31.0,184.9,81.0,43.9,51.0,11
F,129.0,110.0,35.0,258.3,114.0,60.9,66.0,14
M,115.0,94.0,28.0,167.5,69.7,34.7,48.0,11
F,128.0,108.0,35.0,244.2,102.0,51.8,78.0,15
I,72.0,56.0,21.0,39.8,13.9,9.0,16.0,9
I,83.0,62.0,22.0,59.3,24.6,11.4,19.9,10
F,105.0,82.0,27.0,141.7,58.6,30.5,47.0,11
M,76.0,57.0,20.0,53.3,23.0,12.2,15.0,11
F,117.0,93.0,34.0,198.3,77.3,44.8,53.0,12
I,48.0,37.0,14.0,14.3,5.2,3.6,5.0,6
I,44.0,33.0,11.0,10.9,4.3,2.4,4.0,5
I,51.0,39.0,14.0,14.7,5.1,4.0,5.0,6
I,35.0,25.0,10.0,4.7,1.6,0.7,1.6,5
F,134.0,110.0,38.0,278.1,108.5,60.7,80.0,12
M,131.0,106.0,39.0,277.6,113.4,54.7,82.0,13
F,136.0,110.0,42.0,348.9,119.5,61.0,125.0,17
M,135.0,111.0,40.0,287.7,109.0,53.3,93.0,21
F,106.0,88.0,27.0,156.7,62.6,34.3,43.7,9
F,103.0,81.0,24.0,129.2,57.9,28.1,35.4,10
I,86.0,68.0,24.0,71.5,30.2,12.9,20.9,9
F,104.0,81.0,24.0,125.4,52.9,28.3,36.2,11
F,109.0,83.0,32.0,154.3,54.4,29.1,55.3,10
M,106.0,83.0,35.0,147.9,52.2,27.9,52.9,17
F,93.0,70.0,23.0,84.2,31.3,18.2,26.9,9
M,133.0,108.0,35.0,269.4,99.1,50.8,83.0,17
M,147.0,118.0,45.0,351.2,127.4,68.1,116.0,21
M,132.0,109.0,37.0,264.0,106.1,52.7,91.0,16
F,140.0,117.0,37.0,361.5,141.1,64.3,95.0,29
M,115.0,80.0,31.0,186.5,72.1,48.9,60.0,17
M,114.0,93.0,25.0,169.8,75.7,35.3,48.0,15
F,116.0,92.0,30.0,199.1,85.8,42.4,52.0,19
M,126.0,96.0,29.0,202.3,84.7,47.4,61.0,12
F,117.0,93.0,28.0,181.6,76.2,32.3,63.0,13
M,110.0,90.0,26.0,184.0,75.6,47.7,58.0,11
F,125.0,103.0,30.0,248.3,104.7,61.3,72.0,15
M,108.0,84.0,27.0,161.5,69.7,35.9,47.0,11
F,114.0,91.0,33.0,211.9,88.0,43.9,57.0,14
M,118.0,91.0,29.0,214.6,95.0,38.0,57.0,14
M,116.0,92.0,26.0,184.2,71.4,36.2,58.0,13
F,131.0,102.0,31.0,257.9,106.9,57.1,82.0,11
M,131.0,106.0,35.0,252.7,97.2,52.7,83.0,15
M,125.0,100.0,39.0,273.8,117.5,43.7,74.0,17
F,125.0,100.0,30.0,190.6,68.9,44.7,61.0,15
F,128.0,104.0,35.0,249.6,84.9,51.9,96.0,12
F,121.0,97.0,33.0,202.1,87.0,41.8,60.0,19
F,123.0,105.0,31.0,207.7,85.4,46.3,69.0,11
M,111.0,90.0,35.0,174.8,65.5,40.4,61.0,10
F,116.0,88.0,36.0,170.8,73.3,32.7,49.0,12
F,124.0,104.0,45.0,236.7,75.6,54.0,79.0,23
F,124.0,94.0,45.0,223.0,75.6,42.9,72.0,15
F,120.0,101.0,38.0,225.8,87.7,51.2,72.0,13
F,125.0,97.0,38.0,234.9,87.7,46.1,84.0,17
M,120.0,94.0,35.0,221.0,97.3,49.4,63.0,15
M,112.0,92.0,47.0,167.9,66.5,31.4,61.0,12
M,117.0,91.0,45.0,211.0,76.3,44.2,73.0,15
M,112.0,87.0,36.0,177.8,72.0,40.8,50.0,11
I,112.0,89.0,31.0,174.7,60.1,41.8,55.0,16
I,136.0,106.0,37.0,221.9,87.8,49.0,68.0,10
F,91.0,70.0,28.0,103.7,44.2,25.3,27.0,10
F,98.0,76.0,29.0,134.5,49.8,36.2,42.0,10
M,62.0,44.0,17.0,29.2,12.2,7.3,9.0,6
F,55.0,39.0,14.0,16.0,6.2,4.3,5.0,5
M,54.0,39.0,16.0,20.0,7.7,3.9,6.0,6
M,80.0,58.0,23.0,55.9,22.3,11.5,15.0,9
M,56.0,40.0,16.0,18.3,6.6,4.3,6.0,5
M,65.0,46.0,18.0,29.4,12.0,6.8,9.0,4
F,69.0,50.0,18.0,40.6,15.6,11.8,11.0,6
M,42.0,30.0,10.0,7.7,3.1,1.7,2.0,3
F,72.0,54.0,18.0,37.7,16.9,7.7,11.0,5
I,73.0,52.0,23.0,43.6,18.7,8.9,14.0,9
M,40.0,28.0,11.0,7.0,2.9,1.6,2.0,5
M,47.0,32.0,12.0,10.9,5.3,1.9,3.0,4
M,35.0,25.0,8.0,4.8,1.9,1.2,1.0,4
M,31.0,22.0,8.0,3.1,1.3,0.6,1.0,3
F,114.0,89.0,31.0,146.6,56.4,31.8,47.0,14
F,114.0,90.0,32.0,194.3,79.3,51.0,52.0,12
M,77.0,60.0,19.0,48.0,17.7,11.8,17.0,9
I,106.0,84.0,37.0,150.4,59.8,31.2,41.0,20
F,92.0,71.0,26.0,91.6,38.4,21.1,26.0,13
I,94.0,74.0,24.0,94.1,36.9,21.1,31.0,12
F,87.0,67.0,22.0,76.0,33.9,17.2,22.0,9
I,94.0,74.0,28.0,99.7,41.9,24.5,29.0,10
I,93.0,76.0,26.0,90.8,37.9,16.0,31.0,11
I,104.0,81.0,28.0,115.5,40.0,29.0,35.8,11
M,58.0,46.0,15.0,23.3,8.6,5.1,8.0,7
M,55.0,41.0,14.0,18.8,6.7,4.0,6.5,5
F,75.0,58.0,23.0,54.1,18.6,13.2,17.7,10
F,100.0,75.0,28.0,120.8,48.4,28.3,35.8,15
F,88.0,71.0,23.0,83.0,31.7,18.5,26.2,11
M,84.0,65.0,23.0,57.7,20.0,11.4,22.7,15
M,89.0,70.0,23.0,72.3,31.3,13.9,23.4,8
F,76.0,58.0,21.0,51.4,19.8,10.2,17.0,10
M,64.0,49.0,15.0,31.1,11.7,7.6,9.8,11
M,51.0,39.0,13.0,16.0,6.3,3.6,5.4,8
M,41.0,31.0,9.0,8.5,3.4,1.1,3.1,7
F,113.0,90.0,32.0,159.0,72.1,31.1,46.0,12
I,111.0,85.0,36.0,175.0,73.9,40.1,51.0,11
I,130.0,103.0,32.0,232.5,99.0,40.6,66.0,17
I,123.0,98.0,31.0,197.7,82.9,39.0,69.0,13
I,112.0,88.0,33.0,160.0,67.0,34.7,50.0,12
I,96.0,74.0,24.0,102.8,41.5,26.2,31.0,13
I,97.0,78.0,25.0,118.2,57.4,28.2,24.0,9
I,100.0,77.0,30.0,125.3,52.1,33.3,32.0,10
I,105.0,81.0,30.0,159.0,61.5,41.0,51.0,14
F,132.0,100.0,33.0,238.1,91.7,59.6,74.0,12
F,132.0,106.0,34.0,265.2,103.8,52.5,88.0,13
I,104.0,80.0,29.0,132.0,53.4,21.1,44.0,13
F,88.0,68.0,21.0,72.8,29.6,16.1,23.5,8
I,103.0,80.0,24.0,131.8,54.1,35.8,34.0,13
F,95.0,70.0,23.0,90.4,34.3,18.4,31.0,11
F,109.0,83.0,30.0,146.7,55.9,32.6,43.7,11
F,94.0,71.0,26.0,109.3,40.1,25.2,37.0,14
M,70.0,51.0,13.0,35.8,14.1,7.7,12.0,10
I,97.0,71.0,26.0,116.2,49.0,26.4,33.6,12
I,87.0,66.0,25.0,81.2,33.7,21.1,19.2,12
M,56.0,42.0,16.0,21.7,8.2,5.3,6.9,7
F,82.0,64.0,23.0,77.4,33.0,20.1,19.7,11
I,90.0,70.0,28.0,94.8,42.0,21.8,25.5,16
I,90.0,69.0,27.0,88.6,39.5,17.5,23.5,14
F,118.0,91.0,31.0,213.2,76.4,45.5,83.0,20
F,114.0,88.0,28.0,190.7,75.7,40.2,61.0,17
I,122.0,95.0,30.0,193.3,82.9,40.0,69.0,10
F,122.0,95.0,28.0,226.6,105.5,47.1,70.0,11
I,112.0,85.0,28.0,183.5,80.1,39.5,52.0,10
F,117.0,87.0,35.0,196.4,81.1,49.9,54.0,10
I,116.0,89.0,30.0,177.3,76.6,41.8,51.0,11
F,126.0,96.0,35.0,273.5,100.3,60.7,103.0,17
F,125.0,98.0,35.0,246.6,111.3,49.4,73.0,11
I,110.0,85.0,30.0,161.2,75.2,34.2,49.0,14
F,129.0,105.0,38.0,292.7,132.3,68.7,87.0,19
I,92.0,71.0,28.0,98.7,43.2,26.6,23.0,13
F,82.0,61.0,20.0,72.6,34.7,13.0,22.0,11
I,99.0,78.0,25.0,133.1,56.8,32.4,40.0,11
I,104.0,85.0,34.0,136.1,56.0,34.8,39.0,10
F,110.0,82.0,29.0,165.7,61.9,38.1,50.0,13
M,90.0,67.0,28.0,92.5,32.8,15.2,30.0,14
F,81.0,62.0,24.0,61.9,27.6,11.6,19.0,13
I,102.0,80.0,30.0,149.0,57.3,33.5,47.0,13
F,74.0,58.0,23.0,50.0,22.2,11.4,15.0,9
I,105.0,82.0,35.0,174.8,71.7,41.4,41.0,18
F,132.0,104.0,36.0,302.8,105.2,59.5,84.0,19
M,107.0,84.0,30.0,139.9,51.5,30.6,48.0,12
I,115.0,91.0,36.0,170.5,60.3,36.5,60.0,13
F,110.0,86.0,28.0,142.7,51.3,37.2,45.0,9
I,121.0,94.0,28.0,187.8,67.7,40.2,64.0,13
I,121.0,99.0,29.0,210.8,73.8,45.1,72.0,12
F,112.0,89.0,39.0,196.2,61.0,44.9,67.0,16
I,107.0,84.0,29.0,185.2,79.6,39.3,50.0,17
F,77.0,63.0,22.0,57.2,24.5,12.7,16.7,10
F,78.0,60.0,20.0,53.0,21.5,12.0,17.3,13
I,94.0,69.0,23.0,97.7,40.1,21.6,33.2,11
I,103.0,78.0,28.0,111.1,40.0,22.7,44.7,12
I,85.0,69.0,25.0,85.0,32.0,15.9,30.8,13
M,69.0,54.0,18.0,39.0,15.6,9.1,11.8,9
I,97.0,74.0,26.0,91.6,36.2,22.6,27.2,10
M,74.0,57.0,20.0,45.6,13.5,13.5,16.2,10
M,70.0,53.0,18.0,35.5,11.5,8.4,13.6,12
F,88.0,69.0,34.0,81.7,30.0,16.5,30.3,12
M,39.0,29.0,10.0,6.4,2.0,1.6,2.4,4
M,65.0,48.0,15.0,31.0,9.5,7.1,12.0,9
I,99.0,74.0,25.0,95.5,37.0,14.1,33.8,18
I,90.0,70.0,29.0,105.0,41.7,20.0,33.1,15
M,83.0,69.0,27.0,77.3,25.6,14.0,29.6,13
F,94.0,71.0,28.0,86.6,30.5,19.0,30.4,12
M,64.0,48.0,17.0,34.0,13.1,9.4,9.8,7
M,62.0,45.0,15.0,25.9,9.1,6.7,8.8,9
M,47.0,34.0,11.0,10.3,3.6,2.1,3.9,7
M,69.0,51.0,16.0,33.8,12.0,8.5,10.8,10
I,97.0,76.0,28.0,134.6,43.5,26.0,39.0,18
F,100.0,77.0,23.0,135.7,58.9,27.6,39.0,12
F,100.0,77.0,21.0,99.6,35.9,21.9,34.0,17
I,93.0,72.0,21.0,99.6,42.8,23.2,28.0,15
F,105.0,81.0,32.0,131.6,53.1,22.5,45.0,12
F,85.0,67.0,19.0,64.4,24.1,12.2,25.0,10
F,76.0,61.0,19.0,56.3,25.1,10.5,18.0,8
I,106.0,83.0,29.0,188.8,76.9,37.0,53.0,21
M,68.0,53.0,17.0,36.7,15.4,9.2,13.0,10
I,95.0,73.0,23.0,98.0,44.6,24.7,26.7,9
F,86.0,68.0,24.0,78.2,31.1,19.0,28.1,7
M,92.0,73.0,25.0,93.4,37.9,18.9,31.6,10
I,94.0,72.0,26.0,104.5,39.6,21.3,33.0,9
M,72.0,59.0,20.0,42.1,13.2,10.5,15.0,9
M,71.0,53.0,18.0,33.6,10.0,8.2,12.6,8
M,76.0,47.0,20.0,51.6,21.1,10.8,16.0,7
M,71.0,52.0,17.0,38.1,16.2,9.7,11.0,6
I,88.0,69.0,24.0,97.4,39.3,21.6,32.0,14
F,102.0,80.0,26.0,114.7,43.8,27.3,39.0,13
M,65.0,48.0,17.0,34.6,15.9,7.6,10.0,7
I,124.0,97.0,36.0,235.7,93.5,53.1,78.0,13
F,118.0,90.0,32.0,180.0,71.6,31.2,63.0,19
M,66.0,51.0,19.0,37.5,14.7,9.0,12.0,7
M,90.0,68.0,26.0,74.3,32.1,15.9,21.0,9
I,89.0,66.0,24.0,69.4,24.0,16.8,21.0,11
M,66.0,43.0,15.0,22.9,9.0,5.3,7.0,6
M,96.0,75.0,29.0,155.4,43.2,26.0,34.0,9
I,92.0,70.0,24.0,97.7,38.6,21.0,31.0,11
F,95.0,72.0,25.0,89.4,33.9,16.2,28.0,9
M,51.0,36.0,13.0,15.8,6.8,2.8,5.0,5
I,67.0,49.0,18.0,33.3,11.9,8.0,12.0,6
I,94.0,70.0,26.0,93.2,36.9,19.8,29.0,11
M,62.0,45.0,16.0,26.9,10.8,4.8,10.0,7
F,74.0,56.0,22.0,46.1,18.9,9.3,15.0,10
M,59.0,43.0,15.0,25.8,10.0,5.9,8.0,7
F,111.0,87.0,33.0,194.0,67.2,46.3,59.0,17
F,123.0,103.0,34.0,228.0,86.1,44.9,84.0,16
I,116.0,98.0,39.0,263.3,106.1,50.8,82.0,18
F,117.0,95.0,37.0,191.7,82.9,32.3,66.0,11
I,130.0,105.0,36.0,325.2,119.4,68.9,106.0,18
I,107.0,90.0,34.0,156.2,61.1,31.1,59.0,11
F,83.0,68.0,26.0,73.5,29.2,17.7,24.0,10
F,76.0,61.0,21.0,56.2,20.9,12.3,18.0,12
I,90.0,71.0,24.0,82.4,22.9,13.3,32.0,19
F,79.0,59.0,19.0,44.9,15.6,10.8,16.0,10
M,91.0,70.0,24.0,96.7,36.3,28.8,32.0,11
F,97.0,76.0,30.0,121.0,43.1,28.0,36.0,15
M,110.0,85.0,31.0,183.5,55.5,48.6,67.0,13
F,90.0,70.0,29.0,108.5,35.3,24.6,35.0,13
M,95.0,77.0,29.0,123.5,47.0,21.6,43.0,14
F,100.0,76.0,31.0,131.0,48.1,28.6,41.0,17
F,106.0,82.0,33.0,162.3,48.0,33.8,48.0,19
M,98.0,78.0,30.0,114.6,45.0,24.8,34.0,21
F,98.0,77.0,30.0,157.3,48.2,28.0,48.0,23
F,104.0,79.0,36.0,128.0,31.6,22.0,49.0,22
M,108.0,83.0,29.0,148.0,52.7,33.6,49.0,12
F,100.0,75.0,23.0,118.9,37.0,29.6,38.0,11
F,90.0,76.0,33.0,163.3,50.0,38.3,53.0,23
F,74.0,55.0,20.0,44.5,18.6,5.2,16.0,8
I,74.0,55.0,20.0,45.9,17.7,9.3,14.0,7
M,97.0,74.0,28.0,114.5,40.8,28.3,35.0,10
F,87.0,65.0,23.0,78.3,30.8,18.8,24.0,7
M,107.0,81.0,37.0,166.9,63.5,34.5,58.0,16
M,102.0,80.0,28.0,130.3,49.1,33.3,37.0,10
M,113.0,88.0,37.0,181.8,68.8,46.5,51.0,15
F,107.0,80.0,30.0,160.9,66.9,42.5,42.0,13
F,107.0,81.0,25.0,185.4,52.0,28.5,69.0,16
M,105.0,80.0,34.0,146.1,55.8,41.1,39.0,11
M,118.0,88.0,30.0,191.1,73.2,48.5,59.0,11
M,100.0,75.0,30.0,127.2,50.7,29.0,38.0,10
I,51.0,38.0,15.0,17.3,6.9,4.1,5.0,5
F,86.0,65.0,23.0,77.3,29.5,21.3,22.0,11
M,76.0,58.0,24.0,56.6,23.5,13.1,17.0,9
I,33.0,22.0,4.0,3.8,1.3,0.5,1.0,4
I,63.0,46.0,18.0,25.7,8.6,8.0,8.0,7
I,31.0,21.0,10.0,3.5,1.0,0.7,1.0,4
M,56.0,41.0,20.0,23.3,10.9,5.7,6.0,5
F,86.0,67.0,24.0,88.8,31.0,22.9,28.0,13
F,79.0,63.0,21.0,70.3,23.7,18.2,23.9,16
M,77.0,57.0,21.0,58.1,24.3,13.7,17.5,12
F,96.0,77.0,27.0,107.2,37.9,28.4,34.6,14
F,89.0,66.0,21.0,90.5,36.0,20.6,24.6,9
M,79.0,59.0,23.0,63.2,24.1,11.9,22.1,12
M,80.0,60.0,25.0,83.4,38.2,18.0,23.5,9
M,83.0,65.0,28.0,83.4,30.7,20.3,28.8,10
M,63.0,50.0,18.0,40.6,12.3,7.4,15.9,11
F,69.0,52.0,18.0,41.4,15.5,8.7,15.3,10
M,72.0,59.0,26.0,55.3,17.9,11.4,20.1,10
I,59.0,45.0,18.0,22.1,8.1,4.9,6.4,7
I,65.0,50.0,16.0,35.2,11.9,7.1,12.6,7
M,75.0,60.0,20.0,49.3,20.8,9.5,16.6,11
I,56.0,41.0,11.0,22.7,9.0,5.5,6.7,7
M,71.0,53.0,17.0,40.2,13.8,10.6,13.9,8
M,70.0,51.0,16.0,38.3,16.0,7.7,12.6,9
I,55.0,40.0,13.0,20.7,9.5,4.1,6.0,7
I,58.0,41.0,14.0,19.5,7.2,3.8,7.0,8
I,50.0,38.0,12.0,15.3,7.2,2.3,4.9,6
I,36.0,25.0,7.0,5.3,1.9,1.1,1.7,4
I,30.0,20.0,5.0,3.0,0.9,0.8,1.0,2
I,32.0,22.0,5.0,3.6,1.3,1.1,1.0,3
M,111.0,91.0,32.0,211.5,78.5,45.6,58.6,13
M,111.0,88.0,30.0,218.4,83.2,42.4,88.1,15
M,105.0,82.0,26.0,198.0,77.3,48.6,59.0,15
M,93.0,72.0,16.0,97.6,38.2,25.0,31.0,11
F,98.0,72.0,22.0,100.1,32.2,21.4,39.0,17
M,80.0,61.0,17.0,59.4,21.6,14.1,20.0,10
F,96.0,75.0,21.0,105.0,43.7,23.9,31.0,12
M,101.0,80.0,25.0,154.0,54.7,31.8,51.0,13
F,104.0,80.0,24.0,130.3,52.2,40.3,33.0,15
M,105.0,80.0,26.0,165.9,48.1,36.5,55.0,11
M,109.0,84.0,26.0,175.8,74.8,33.9,46.0,13
M,104.0,80.0,24.0,164.6,59.6,36.1,53.0,15
M,101.0,76.0,26.0,131.2,45.4,35.7,44.0,13
M,105.0,85.0,24.0,173.3,56.5,35.2,58.0,18
M,102.0,78.0,25.0,131.3,52.4,36.7,35.0,10
M,104.0,77.0,23.0,133.8,47.7,34.4,41.0,12
F,104.0,81.0,25.0,128.7,48.3,34.7,42.0,12
M,107.0,82.0,27.0,172.4,57.1,30.5,64.0,14
M,89.0,69.0,18.0,75.9,28.6,14.8,25.0,10
M,106.0,88.0,41.0,167.0,64.0,43.5,49.0,14
F,72.0,53.0,18.0,41.3,15.6,11.4,12.0,8
F,107.0,84.0,30.0,147.3,55.7,37.2,43.0,14
F,104.0,81.0,28.0,163.5,55.9,36.6,52.0,17
M,106.0,83.0,26.0,168.5,55.0,38.9,53.0,20
F,106.0,84.0,26.0,200.2,68.0,45.2,53.0,17
F,132.0,104.0,40.0,335.2,134.6,96.1,90.0,17
M,104.0,77.0,28.0,131.9,49.7,40.7,32.0,9
M,107.0,84.0,26.0,161.1,60.2,36.2,56.0,14
M,139.0,103.0,35.0,303.3,115.6,82.1,78.0,15
F,102.0,78.0,21.0,122.4,37.4,30.0,39.0,13
M,97.0,71.0,24.0,109.4,43.0,32.3,28.0,10
F,121.0,92.0,34.0,224.4,69.4,60.9,63.0,13
F,116.0,91.0,33.0,227.3,73.8,60.1,55.0,13
M,130.0,103.0,35.0,296.1,105.9,54.4,105.0,20
M,124.0,101.0,37.0,305.5,138.0,73.6,70.0,13
M,123.0,105.0,31.0,227.5,73.4,47.2,74.0,20
F,121.0,99.0,38.0,287.4,93.8,53.1,82.0,15
M,114.0,88.0,31.0,223.2,95.5,46.3,54.0,13
M,114.0,86.0,24.0,212.3,69.6,33.4,62.0,15
M,117.0,81.0,30.0,251.3,87.0,40.4,65.0,15
F,110.0,88.0,31.0,189.2,62.6,36.5,67.0,16
F,108.0,88.0,27.0,191.8,47.7,44.2,60.0,17
M,128.0,102.0,38.0,322.6,124.3,72.2,94.0,14
F,122.0,94.0,29.0,230.6,80.6,59.2,64.0,14
M,109.0,90.0,30.0,195.6,67.3,38.1,60.0,11
F,118.0,89.0,26.0,226.5,76.5,46.8,64.0,13
M,69.0,54.0,19.0,39.4,13.3,10.0,14.0,9
F,110.0,86.0,31.0,157.0,57.8,45.4,46.6,11
F,106.0,85.0,34.0,189.8,69.7,47.9,55.6,17
F,106.0,91.0,33.0,196.1,63.1,56.3,59.3,11
I,97.0,75.0,28.0,104.2,40.0,24.6,34.0,8
M,77.0,55.0,23.0,53.7,19.5,16.5,17.0,8
M,91.0,68.0,27.0,92.4,33.5,31.6,24.0,9
M,98.0,76.0,28.0,152.1,49.0,33.4,37.0,10
M,106.0,82.0,33.0,146.4,37.8,34.0,62.0,11
M,101.0,77.0,29.0,135.5,47.2,35.8,40.0,15
M,98.0,76.0,28.0,127.7,46.1,28.4,39.0,13
M,93.0,70.0,28.0,115.1,40.3,30.1,38.0,15
F,94.0,72.0,29.0,107.4,34.5,27.5,39.0,15
M,112.0,82.0,33.0,186.0,70.1,47.4,60.0,13
M,101.0,77.0,30.0,128.3,49.2,30.4,43.0,12
M,103.0,87.0,29.0,176.3,58.4,41.2,51.0,10
I,77.0,56.0,25.0,48.8,20.4,7.6,17.0,6
I,43.0,31.0,12.0,10.5,4.2,3.3,3.0,5
M,110.0,83.0,35.0,208.4,65.9,46.5,58.1,15
F,103.0,78.0,26.0,115.1,39.5,26.0,36.9,9
M,99.0,77.0,27.0,141.8,42.2,27.5,52.4,12
F,101.0,78.0,32.0,128.8,49.5,40.5,32.7,9
F,120.0,93.0,33.0,177.5,61.8,49.2,52.4,12
F,114.0,93.0,32.0,178.7,62.9,51.5,52.6,10
F,97.0,75.0,27.0,111.2,38.5,26.3,33.7,10
M,94.0,74.0,36.0,102.0,38.3,25.7,32.5,9
M,115.0,90.0,33.0,184.3,65.5,45.0,51.2,12
M,116.0,93.0,32.0,206.9,63.0,52.0,72.7,12
M,103.0,81.0,29.0,139.0,43.0,32.7,46.8,15
M,106.0,82.0,31.0,143.1,56.1,33.7,42.8,11
M,88.0,67.0,22.0,78.8,31.4,19.2,24.4,9
M,104.0,84.0,32.0,149.0,51.0,31.4,57.7,11
F,85.0,69.0,22.0,73.3,25.0,16.2,23.4,11
M,92.0,68.0,27.0,99.0,33.1,23.4,37.0,10
M,90.0,67.0,25.0,69.8,23.8,21.1,23.0,10
M,85.0,66.0,26.0,88.1,30.4,18.7,31.0,9
I,74.0,55.0,20.0,44.0,18.8,9.0,13.0,7
M,103.0,76.0,27.0,132.3,57.5,41.9,31.0,10
M,81.0,61.0,24.0,63.7,24.7,18.1,19.0,7
I,56.0,41.0,14.0,20.3,8.2,6.0,6.0,6
F,96.0,80.0,25.0,151.8,42.5,35.8,48.0,15
F,88.0,68.0,26.0,83.9,30.6,23.1,26.0,10
F,104.0,82.0,23.0,161.4,57.1,35.8,47.0,12
M,101.0,81.0,28.0,175.0,53.3,34.8,57.0,12
F,98.0,73.0,26.0,136.7,33.0,26.3,41.0,21
I,47.0,35.0,11.0,13.4,5.4,2.5,3.6,6
I,51.0,37.0,12.0,17.6,7.3,4.2,4.6,5
I,63.0,48.0,17.0,34.3,14.2,6.9,10.7,7
I,65.0,50.0,16.0,34.7,15.3,6.9,9.8,7
I,67.0,50.0,16.0,36.6,14.7,8.0,11.5,6
I,70.0,54.0,18.0,41.1,15.0,11.5,12.4,6
I,70.0,50.0,14.0,36.0,13.1,9.6,10.8,6
I,72.0,60.0,17.0,54.0,23.7,12.8,14.9,7
I,73.0,55.0,27.0,48.0,21.6,8.9,14.7,7
I,74.0,55.0,28.0,44.3,19.4,9.1,12.3,6
I,76.0,55.0,19.0,27.5,17.2,11.7,12.1,7
I,77.0,58.0,19.0,62.4,28.6,12.7,17.2,6
I,77.0,60.0,20.0,57.9,24.3,12.6,18.0,7
I,79.0,58.0,19.0,63.8,27.6,16.0,16.4,7
I,79.0,58.0,19.0,60.8,25.4,16.8,15.4,6
I,80.0,62.0,20.0,61.2,26.0,12.0,18.8,6
I,82.0,65.0,20.0,78.8,41.6,13.1,21.2,6
I,83.0,64.0,22.0,74.7,35.0,15.1,21.8,7
M,83.0,61.0,20.0,65.0,31.2,10.1,18.2,6
I,85.0,65.0,20.0,79.6,23.7,12.9,18.9,6
I,88.0,73.0,23.0,100.2,48.7,16.8,29.3,9
I,89.0,67.0,20.0,97.9,54.9,17.2,22.1,7
I,89.0,65.0,20.0,75.6,35.9,20.0,17.8,7
I,90.0,70.0,26.0,109.4,49.0,28.1,28.1,8
M,94.0,75.0,24.0,116.1,53.2,18.7,33.8,8
I,95.0,73.0,25.0,109.3,45.8,23.7,34.4,9
F,96.0,73.0,27.0,127.9,58.9,22.6,35.0,8
I,97.0,71.0,21.0,99.6,43.5,19.2,30.5,9
M,98.0,77.0,25.0,121.8,61.3,19.2,35.5,8
F,99.0,82.0,25.0,151.1,67.1,25.8,42.8,9
M,100.0,80.0,25.0,119.5,54.0,25.5,33.2,9
M,101.0,88.0,28.0,165.5,68.3,37.1,47.8,8
M,105.0,79.0,26.0,152.7,67.5,28.5,45.0,8
M,108.0,81.0,25.0,178.2,96.3,38.3,40.4,9
F,108.0,84.0,28.0,161.0,73.8,34.5,42.0,11
F,109.0,88.0,27.0,183.7,85.8,40.3,47.5,10
F,110.0,86.0,25.0,184.6,80.7,35.0,56.6,8
M,110.0,90.0,30.0,202.9,81.4,40.3,57.5,10
F,110.0,90.0,30.0,175.0,72.4,35.1,55.3,10
M,111.0,87.0,29.0,193.7,99.7,33.6,47.7,9
M,113.0,90.0,31.0,211.9,94.7,48.0,53.0,10
M,114.0,91.0,30.0,190.4,77.9,43.1,54.9,9
M,114.0,87.0,26.0,150.7,69.8,35.1,38.8,10
F,115.0,93.0,28.0,191.6,88.4,36.3,54.1,9
M,118.0,95.0,33.0,215.4,90.9,48.8,61.9,9
M,118.0,92.0,26.0,220.4,91.0,41.1,66.0,12
F,119.0,96.0,30.0,222.0,99.6,45.6,66.0,10
F,119.0,96.0,32.0,241.9,104.5,59.2,64.0,8
F,119.0,95.0,32.0,228.1,109.4,46.2,54.2,6
F,119.0,93.0,28.0,222.6,103.5,48.8,61.0,12
M,120.0,95.0,35.0,268.9,109.8,57.5,72.0,11
F,120.0,95.0,31.0,242.0,130.6,33.9,64.1,10
M,120.0,99.0,35.0,258.0,121.2,55.2,68.9,11
F,121.0,95.0,35.0,276.4,121.8,46.5,79.7,10
M,121.0,91.0,32.0,220.7,84.2,60.3,65.0,9
F,123.0,100.0,35.0,275.4,111.7,66.0,58.4,12
